,Year,援щ텇,team,mpg,?쒗뭹,1P,2P,3P,4P,5P,6P,7P,8P,9P,10P,11P,12P, YTD 
2023,CORE,CORE2,CORE2101,CIB,CIBINQO,387000,468000,556000,775000,852000,938000,2342000,2728000,3148000,3606000,4101000,4636000,"24,542,190"
2023,CORE,CORE2,CORE2102,CIB,CIBINQO,524000,633000,753000,1049000,1154000,1270000,3172000,3693000,4263000,4882000,5553000,6277000,"33,230,874"
2023,CORE,CORE2,CORE2103,CIB,CIBINQO,1071000,1294000,1539000,2144000,2358000,2594000,6479000,7544000,8707000,9972000,11342000,12821000,"67,868,947"
2023,CORE,CORE2,CORE2104,CIB,CIBINQO,1668000,2015000,2396000,3338000,3672000,4039000,10087000,11745000,13557000,15526000,17660000,19962000,"105,671,007"
2023,CORE,CORE2,CORE2105,CIB,CIBINQO,355000,429000,511000,712000,783000,861000,2151000,2505000,2891000,3311000,3767000,4258000,"22,540,830"
2023,CORE,CORE2,CORE2106,CIB,CIBINQO,312000,377000,448000,625000,687000,756000,1888000,2199000,2538000,2907000,3306000,3738000,"19,787,153"
2023,CORE,CORE2,CORE2107,CIB,CIBINQO,869000,1050000,1248000,1739000,1913000,2104000,5255000,6119000,7063000,8089000,9200000,10400000,"55,053,335"
2023,CORE,CORE2,CORE2108,CIB,CIBINQO,528000,638000,758000,1057000,1162000,1279000,3194000,3719000,4292000,4916000,5591000,6320000,"33,458,893"
2023,CORE,CORE2,CORE2109,CIB,CIBINQO,2734000,3303000,3927000,5471000,6018000,6620000,16533000,19250000,22218000,25446000,28943000,32717000,"173,185,362"
2023,CORE,CORE2,CORE2110,CIB,CIBINQO,289000,350000,416000,579000,637000,701000,1751000,2039000,2354000,2696000,3067000,3466000,"18,351,982"
2023,CORE,CORE1,CORE1101,CRE,CRESEMBA,412297,412297,353399,412297,412297,471198,412297,530097,588999,647898,588999,647905,"5,889,980"
2023,CORE,CORE1,CORE1102,CRE,CRESEMBA,606057,606057,519477,606057,606057,692636,606057,779216,865795,952375,865795,952373,"8,657,952"
2023,CORE,CORE1,CORE1103,CRE,CRESEMBA,616914,616914,528783,616914,616914,705044,616914,793175,881305,969436,881305,969434,"8,813,052"
2023,CORE,CORE1,CORE1104,CRE,CRESEMBA,2531953,2531953,2170245,2531953,2531953,2893660,2531953,3255368,3617075,3978783,3617075,3978780,"36,170,751"
2023,CORE,CORE1,CORE1105,CRE,CRESEMBA,628505,628505,538718,628505,628505,718291,628505,808078,897864,987650,897864,987650,"8,978,640"
2023,CORE,CORE1,CORE1106,CRE,CRESEMBA,7158554,7158554,6135904,7158554,7158554,8181205,7158554,9203855,10226506,11249157,10226506,11249157,"102,265,060"
2023,CORE,CORE1,CORE1107,CRE,CRESEMBA,982235,982235,841915,982235,982235,1122554,982235,1262873,1403192,1543511,1403192,1543510,"14,031,922"
2023,CORE,CORE1,CORE1108,CRE,CRESEMBA,3246599,3246599,2782799,3246599,3246599,3710399,3246599,4174199,4637999,5101798,4637999,5101798,"46,379,986"
2023,CORE,CORE4,CORE4101,CRE,CRESEMBA,610021,610021,522875,610021,610021,697167,610021,784313,871458,958604,871458,958604,"8,714,584"
2023,CORE,CORE4,CORE4102,CRE,CRESEMBA,888166,888166,761286,888166,888166,1015047,888166,1141928,1268809,1395690,1268809,1395693,"12,688,092"
2023,CORE,CORE4,CORE4103,CRE,CRESEMBA,11571,11571,9918,11571,11571,13224,11571,14876,16529,18182,16529,18181,"165,294"
